content,label
"
SEPTEMBER11,2001 AND PEACE 
September11,2001 
A day in human civilization 
A dark day of 
Terror
Dissolving thousands of lives 
Babies, children ,old and youths 
Without any reasons or rhymes 
Buried the innocent souls in the WTO 
The world’s most powerful Trade center 
Of mightiest Americans 
Who with all their wealth and prosperity 
Succumbed to un preccedent violence of death 
Prosperity devoid of peace failed to 
Counter the violence 
Giving a call for 
A new America’s war 
Will it be a war of violence or 
A war of Peace 
The science of time still not understood fully 
Will document in history the form in which 
The event will be acknowledged by the posterity 
But the message that PEACE is always victorious 
Will continue to rule the humanity till life continues 
In the biosphere.



",0
"Darkness Befalls

Gliding deep into the forest
Darkness covers me like a blanket
And the mist surrounding me
I feel like there's no way to flee

I look beyond the broad horizon
See the moon shine over the sea
Like the oceans filled with sadness
I run, stumble and try to break free

The path encloses and I’m shattered
Tears of rain encumbers me
Darkness embraces me like a child
Now I wait for him to let me be


",0
"Fear Is Only In Our Minds Taking Over All Our Time

I awake...
From the weirdest dream...
I look I realize
It wasn’t a dream
The car crash
I’m lying in the road
In so much pain
Lying in a pool of blood
Jagged pieces of glass stab
Pierce me
Barely staying awake
Wanting to scream
Silent
Strangled
In the distance I hear sirens
It must be an ambulance
Everything is going all hazy and black
I see blurred figures running up to me
There trying to save me
I’m not ready to die
Someone should have told that kid
Not to drink and drive
And now I must die
Because no one cared to tell him not to drink and drive
As I lie here my breath getting shorter
On the cold unforgiving road
All I can think about is...
The blackness
Coldness
Nothing can save me now


",0
"Lift up your hearts with a smile
Lift up your feet with a dance
Lift up your spirits with a song
It's family time, it's family time, it's family time
Hi, how you doing? Hi, how you been?
It's really good to know we still got this thing
When we get together, it's so much fun
Everyone's happy, nobody's got to run
Lift up your hearts with a smile
Lift up your feet with a dance
Lift up your spirits with a song
It's family time, it's family time, it's family time
Now the world gets busy but it's not hard to see
Family means the most to me
I'm so happy we found this time
Now we can all share what's on our minds
Lift up your hearts with a smile
Lift up your feet with a dance
Lift up your spirits with a song
It's family time, it's family time, it's family time
Now we get together, that's how we get along
Now we get the world to sing a peace song
Everyone can see we are family
Everyone can see it's time to be free
Lift up your hearts with a smile
Lift up your feet with a dance
Lift up your spirits with a song
It's family time, it's family time, it's family time
Yeah, yeah, yeah
Hi, how you doing? Hi, how you been?
It's really good to know we still got this thing
When we get together, it's so much fun
Everyone's happy, nobody's got to run
Lift up your hearts with a smile
Lift up your feet with a dance
Lift up your spirits with a song
It's family time, it's family time, it's family time
Lift up your hearts with a smile
Lift up your feet with a dance
Lift up your spirits with a song
It's family time, it's family time, it's family time
It's family time, it's family time, it's family time
It's family time, yeah, it's family time
Yeah, it's family time, yeah",1
"OURNEY OF A DAY
Our days begin with sunrise & ends with sunset
Often the days are seem useless, pointless
We don’t think they matter but they do
Everything that happens has a reason
The truth will be revealed in due season
Our life is a journey that we must make
A road, a path, which we must take
Our course is never easy
The stakes may be high
We should not let our life like the leaves in winter
Life is a poem where we write our story everyday
Life is a game which we must play
Through trouble and disaster
We never know what we will get
Our hand is not always get what we want
We always learn a lesson of hearts and minds is taught
However from the failure
We should not walks on a street of hopeless & blind
Sometimes we find the face with in the face
Which hurt us most of the time?
Still we always expected to act like the world is as beautiful and clean
If we struggle let it be
With hope for things we wish to see
So in every day let’s find you, knowing the world for its reality …+A184",0
"People say she's only in my head
It's going to take time but I'll forget
They say I need to get on with my life
They don't realize

Is when you're dialing 6 numbers just to hang up the phone
Driving across town just to see if she's home
Waking a friend in the dead of the night
Just to hear him say it's going to be alright
When you're finding things to do not to fall asleep
Because you know she will be there in your dreams
That's when she's more than a memory

Took a match to everything she ever wrote
Watched her words go up in smoke
Tore all her pictures off the wall
That ain't helping me at all

Because when you're talking out loud but nobody's there
You look like hell and you just don't care
Drinking more than you ever drank
Sinking down lower than you ever sank
When you find yourself falling down upon your knees
Praying to god, begging him please
That's when she's more than a memory
She's more
She's more

Because when you're dialing her number just to hang up the phone
Driving across town just to see if she's home
Waking a friend in the dead of night
Just to hear him say it's gonna be alright
When you're finding things to do not to fall asleep
Because you know she's waiting in your dreams
That's when she's more than a memory

People say she's only in my head
It's going to take time but I'll forget",0
"Revelation


Someone leaping from the rocks
Past me ran with windblown
locks Like a startled bright surmise
Visible to mortal eyes, —
Just a cheek of frightened rose
That with sudden beauty glows,
Just a footstep like the wind
And a hurried glance behind,
And then nothing, — as a thought
Escapes the mind ere it is caught.
Someone of the heavenly rout
From behind the veil ran out.",1
"I'd rather be liberated
I find myself captivated
Stop doing what you
Keep doing it to
I'd rather stay bold and lonely
I dream I'm your one and only
Stop doing what you
Keep doing it to

Things are getting strange, I'm starting to worry
This could be a case for Mulder and Scully
Things are getting strange, now I can't sleep alone

I'd rather be jumping ship
I find myself jumping straight in
Stop doing what you
Keep doing it to
Forever be dozy and dim
I wake myself thinking of him
Stop doing what you
Keep doing it to

Things are getting strange, I'm starting to worry
This could be a case for Mulder and Scully
Things are getting strange, now I can't sleep alone, here

My bed is made for two and there's nothing I can do
So tell me something I don't know
If my head is full you, is there nothing I can do?
Must we all march in two by two by two?

And as for some happy ending
I'd rather stay single and thin
Stop doing what you
Keep doing it to me

Things are getting strange, I'm starting to worry
This could be a case for Mulder and Scully
Things are getting strange, now I can't sleep alone, here

Things are getting strange, I'm starting to worry
This could be a case for Mulder and Scully
Things are getting strange, now I can't sleep alone

So what have you got to say to that?
And what does someone do without love?
And what does someone do with love?
And what have you got to say about that?",0
"I don't want to be the kind to hesitate
Be too shy, wait too late
I don't care what they say other lovers do
I just want to dance with you

I gotta feeling that you have a heart like mine
So let it show, let it shine
If we have a chance to make one heart of two
I just want to dance with you

I want to dance with you, twirl you all around the floor
That's what they intended dancing for
I just want to dance with you
I want to dance with you, hold you in my arms once more
That's what they invented dancing for
I just want to dance with you

I caught you looking at me when I looked at you
Yes I did, ain't that true?
You won't get embarrassed by the things I do
I just want to dance with you

Oh the boys are playing softly and the girls are too
So am I and so are you
If this was a movie, we'd be right on cue
I just want to dance with you


I just want to dance with you
I just want to dance with you
I just want to dance with you",1
"The Storm

The winds are wild
The lightning strikes
The thunder booms
The storm is coming

The storm represents your fears
And all that you have run away from
They’ve come back for their revenge
Will you face it or run away?

Run away, like you did before
Let your friends fall, like you did before
Or face it, like you should
Help them, like you should

Chin held high and heart strong
Your blood races
The lighting strikes, the thunder booms
You will not run away
You will fight


",0
"In the villa of Ormen, in the villa of Ormen
Stands a solitary candle, ah-ah, ah-ah
In the centre of it all, in the centre of it all
Your eyes
On the day of execution, on the day of execution
Only women kneel and smile, ah-ah, ah-ah
At the centre of it all, at the centre of it all
Your eyes, your eyes
​
Ah-ah-ah
Ah-ah-ah
In the villa of Ormen, in the villa of Ormen
Stands a solitary candle, ah-ah, ah-ah
At the centre of it all, at the centre of it all
Your eyes, your eyes
Ah-ah-ah

Something happened on the day he died
Spirit rose a metre and stepped aside
Somebody else took his place, and bravely cried
(I'm a blackstar, I'm a blackstar)
How many times does an angel fall?
How many people lie instead of talking tall?
He trod on sacred ground, he cried loud into the crowd
(I'm a blackstar, I'm a blackstar, I'm not a gangstar)
​
I can't answer why (I'm a blackstar)
Just go with me (I'm not a filmstar)
I'ma take you home (I'm a blackstar)
Take your passport and shoes (I'm not a popstar)
And your sedatives, boo (I'm a blackstar)
You're a flash in the pan (I'm not a marvel star)
I'm the Great I Am (I'm a blackstar)
​
I'm a blackstar, way up, on money, I've got game
I see right, so wide, so open-hearted pain
I want eagles in my daydreams, diamonds in my eyes
(I'm a blackstar, I'm a blackstar)
Something happened on the day he died
Spirit rose a metre then stepped aside
Somebody else took his place, and bravely cried
(I'm a blackstar, I'm a star's star, I'm a blackstar)
I can't answer why (I'm not a gangstar)
But I can tell you how (I'm not a flam star)
We were born upside-down (I'm a star's star)
Born the wrong way 'round (I’m not a white star)
I'm a blackstar, I'm not a gangstar
I'm a blackstar, I'm a blackstar
I'm not a pornstar, I'm not a wandering star
I'm a blackstar, I’m a blackstar
​
In the villa of Ormen stands a solitary candle
Ah-ah, ah-ah
At the centre of it all, your eyes
On the day of execution, only women kneel and smile
Ah-ah, ah-ah
At the centre of it all, your eyes, your eyes
Ah-ah-ah",0
"*Sirens*
Ah shit. Man, them pinche black gangstas are at it again
I wonder who they fucked up today?
*Screeching Tires*
You motherfucker!
*Machine Gun Fire*
(Got him)

Pull over to the side right now
Man, fuck them motherfuckers!

Yo, Dre! Give me a funky-ass bassline!
Right here!

Here's a little somethin' about a nigga like me
Never should've been let out the penitentiary
Ice Cube would like to say
That I'm a crazy mothafucka from around the way
Since I was a youth, I smoked weed out
Now I'm the mothafucka that you read about
Takin' a life or two, that's what the hell I do
You don't like how I'm livin'? Well, fuck you!
This is a gang and I'm in it
My man Dre'll fuck you up in a minute
With a right left, right left, you toothless
And then you say: ""Goddamn, they ruthless!""
Everywhere we go they say: ""Damn!""
N.W.A's fuckin' up the program
And then you realize we don't care
We don’t just say no, we’re too busy sayin', ""Yeah!""
About drinkin' straight out the eight bottle
Do I look like a mothafuckin' role model?
To a kid lookin' up to me
Life ain't nothin' but bitches and money
'Cause I'm the type of nigga that's built to last
If you fuck with me I’ll put my foot in your ass
See, I don't give a fuck, 'cause I keep bailin'
Yo, what the fuck are they yellin'?

Gangsta, Gangsta! That's what they're yellin'
It's not about a salary, it's all about reality
Gangsta, Gangsta!
Hopin' you sophisticated motherfuckers
Hear what I have to say

When me and my posse stepped in the house
All the punk-ass niggas start breakin' out
'Cause you know, they know what’s up
So we started lookin' for the bitches with the big butts
Like her, but she keep cryin'
""I got a boyfriend""—bitch, stop lyin'!
Dumb-ass hooker ain't nothin' but a dyke
Suddenly I see some niggas that I don't like
Walked over to 'em, and said, ""What's up?""
The first nigga that I saw, hit him in the jaw
Ren started stompin' him, and so did E
By that time got rushed by security
Out the door, but we don't quit
Ren said: ""Let's start some shit""
I got a shotgun, and here's the plot
Takin' niggas out with a flurry of buck shots
Boom, boom, boom! Yeah, I was gunnin'
And then you look, all you see is niggas runnin'
And fallin' and yellin' and pushin' and screamin'
And cussin', I stepped back and I kept bustin'
And then I realized it's time for me to go
So I stopped, jumped in the vehicle
It's like this, because of that who-ride
N.W.A is wanted for a homicide
'Cause I'm the type of nigga that's built to last
Fuck with me, I'll put my foot in your ass
See, I don't give a fuck, 'cause I keep bailin'
Yo, what the fuck are they yellin'?

Gangsta, Gangsta! That's what they're yellin'
It's not about a salary, it's all about reality
Gangsta, Gangsta
He'll tell you exactly how he feel
And don't hold a fuckin' thing back

Homies all standin' around, just hangin'
Some dope-dealin', some gang-bangin'
We decide to roll and we deep
See a nigga on Dayton's and we creep
Real slow and before you know
I had my shotgun pointed in the window
He got scared and hit the gas
Right then I knew I had to smoke his ass
He kept rollin', I jumped in the bucket
We couldn't catch him, so I said fuck it
Then we headed right back to the fort
Sweatin' all the bitches in the biker shorts
We didn't get no play from the ladies
With six niggas in a car—are you crazy?
She was scared, and it was showin'
We all said ""Fuck you, bitch!"" and kept goin'
To the hood, and we was fin to
Find somethin' else to get into
Like some pussy, or in fact
A bum rush, but we call it rat pack
On a nigga for nothin' at all
Ice Cube'll go stupid when I'm full of eight ball
I might stumble, but still won't lose
Now I'm dressed in the county blues
'Cause I'm the type of nigga that's built to last
If you fuck with me, I'll put my foot in your ass
I don't give a fuck, 'cause I keep bailin'
Yo, what the fuck are they yellin'?

Wait a minute, wait a minute, cut this shit!
Man, what'cha gon' do now?
(What we're gonna do right here is go way back)
How far you goin' back? (Way back)
""As we go a lil' somethin' like this""—hit it!

Here's a little gangsta, short in size
A t-shirt and Levi's is his only disguise
Built like a tank, yet hard to hit
Ice Cube and Eazy-E cold runnin' shit

Well, I'm Eazy-E, the one they're talkin' about
Nigga tried to roll the dice and just crapped out
Police tried to roll, so it's time to go
I creeped away real slow and jumped in the six-fo'
With the {diamond in the back, sun-roof top}
Diggin' the scene with the gangsta lean
'Cause I'm the E, I don't slang or bang
I just smoke motherfuckers like it ain't no thang
And all you bitches, you know I'm talkin' to you
""We want to fuck you, Eazy,"" I want to fuck you too
Because you see, I don’t really take no shit
So let me tell you motherfuckers who you're fuckin' with
'Cause I'm the type of nigga that's built to last
If you fuck with me, I'll put a foot in your ass
I don't give a fuck, 'cause I keep bailin'
Yo, what the fuck are they yellin'?

Gangsta, Gangsta! That's what they're yellin'
It's not about a salary, it's all about reality
Gangsta, Gangsta
He'll fuck up you and yours
And anything that gets in his way
Gangsta, Gangsta! That's what they're yellin'
It's not about a salary, it's all about reality
Gangsta, Gangsta
He'll just call you a low-life motherfucker
And talk about yo' funky ways",0
"Outburst

As my heart explodes with hate
I cannot but cogitate
Your eyes, your voice, your soul divide
Could lead my to suicide
I hate you more than Jews hate Hitler
I hate you my childhood hitter
This anger fills me To the top
This shaking will it ever stop?
if you were but a sheet of paper
I might kill you with my stapler
But your not and woe betide
I am not fit for parricide


",0
"Honor your mother and your father
That your days may be long on the land
Children, obey your parents and the law
For This is the law of the prophets
Honor your mother and your father
That your days may be long on the land
Children, obey your parents and the law
For This is the law of the prophets
Love your parents as how you love yourself
Do onto others as they would do to you
Honor your mother and your father
That your days may be long on the land
Children, obey your parents and the law
This is the law of the prophets
Love your parents as how you love yourself
Do onto others as they would do to you
Honor your mother and your father
That your days may be long on the land
Children, obey your parents and the law
This is the law of the prophets",1
"Lost Time 

On many an idle day have I grieved over lost time. 
But it is never lost, my lord. 
Thou hast taken every moment of my life in thine own hands. 

Hidden in the heart of things thou art nourishing seeds into sprouts, 
buds into blossoms, and ripening flowers into fruitfulness. 

I was tired and sleeping on my idle bed 
and imagined all work had ceased. 
In the morning I woke up 
and found my garden full with wonders of flowers.",1
"I took her out
It was a Friday night
I wore cologne
To get the feeling right
We started making out
And she took off my pants
But then I turned on the TV

And that's about the time she walked away from me
Nobody likes you when you're 23
And are still more amused by TV shows
What the hell is ADD?
My friends say I should act my age
What's my age again?
What's my age again?

Then later on
On the drive home
I called her mom
From a payphone
I said I was the cops
And your husband's in jail
This state looks down on sodomy

And that's about the time that bitch hung up on me
Nobody likes you when you're 23
And are still more amused by prank phone calls
What the hell is call ID?
My friends say I should act my age
What's my age again?
What's my age again?

And that's about the time she walked away from me
Nobody likes you when you're 23
And you still act like you're in freshman year
What the hell is wrong with me?
My friends say I should act my age
What's my age again?

(What's my age again?) That's about the time that she broke up with me
(Please stay with me) No one should take themselves so seriously
(Please stay with me) With many years ahead to fall in line
(Please stay with me) Why would you wish that on me?
(Please stay) I never wanna act my age
(With) What's my age again?
(Me) What's my age again?",0
"In a sea of faces, in a sea of doubt
In this cruel place your voice above the maelstrom
In the wake of this ship of fools I'm falling further down
If you can see me, Marian, reach out and take me home...

I hear you calling Marian
Across the water, across the wave
I hear you calling Marian
Can you hear me calling you to
Save me, save me, save me from the
Grave...
Marian

Marian, there's a weight above me
And the pressure is all too strong
To breathe deep
Breathe long and hard
To take the water down and go to sleep
To sink still further
Beneath the fatal wave
Marian I think I'm drowning
This sea is killing me

I hear you calling Marian
Across the water, across the wave
I hear you calling Marian
Can you hear me calling you to
Save me, save me, save me from the
Grave...

Was ich kann und was ich könnte
Weiss ich gar nicht mehr
Gib mir wieder etwas Schönes
Zieh mich aus dem Meer
Ich höre dich rufen, Marian
Kannst du mich schreien hören
Ich bin hier allein
Ich höre dich rufen, Marian
Ohne deine Hilfe verliere ich mich in diesem Ort

I hear you calling Marian
Across the water, across the wave
I hear you calling Marian
Can you hear me calling you to
Save me, save me, save me from the
Grave...
Marian",0
